Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,STOCH_k,STOCH_d,ticker
2012-08-22,105.0,105.0,105.0,105.0,105.0,0,,,,,,,,,,,,,,,,OLB
2012-08-23,105.0,105.0,105.0,105.0,105.0,0,,,,,,,,,,,,,,,,OLB
2012-08-24,105.0,105.0,105.0,105.0,105.0,0,,,,,,,,,,,,,,,,OLB
2012-08-27,105.0,105.0,105.0,105.0,105.0,0,,,,,,,,,,,,,,,,OLB
2012-08-28,105.0,105.0,105.0,105.0,105.0,0,105.0,,,,,,,,,,,,,,,OLB
2012-08-29,105.0,105.0,105.0,105.0,105.0,0,105.0,,,,,,,,,,,,,,,OLB
2012-08-30,105.0,105.0,105.0,105.0,105.0,0,105.0,,,,,,,,,,,,,,,OLB
2012-08-31,105.0,105.0,105.0,105.0,105.0,0,105.0,,,,,,,,,,,,,,,OLB
2012-09-04,105.0,105.0,105.0,105.0,105.0,0,105.0,,,,,,,,,,,,,,,OLB
2012-09-05,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,,,,,,,,,,,,,,OLB
2012-09-06,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,,,,,,,,,,,,,,OLB
2012-09-07,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,,,,,,,,,,,,,,OLB
2012-09-10,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,,,,,,,,,,,,,,OLB
2012-09-11,105.0,105.0,105.0,105.0,105.0,2,105.0,105.0,,,,,,,,,,,,,,OLB
2012-09-12,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,,,,,0.0,,,,,,,,,OLB
2012-09-13,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,,,,,0.0,,,,,,,,,OLB
2012-09-14,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,,,,,0.0,,,,,,,,,OLB
2012-09-17,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,,,,,0.0,,,,,,,0.0,0.0,OLB
2012-09-18,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,,,,,0.0,,,,,,,0.0,0.0,OLB
2012-09-19,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-09-20,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-09-21,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-09-24,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-09-25,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-09-26,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-09-27,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-09-28,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-01,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-02,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-03,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-04,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-05,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-08,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,,,,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-09,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-10,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-11,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-12,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-15,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-16,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-17,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-18,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-19,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-22,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-23,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-24,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-25,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-26,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-10-31,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-01,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-02,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-05,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-06,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-07,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-08,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-09,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-12,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-13,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-14,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-15,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-16,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-19,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-20,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-21,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-23,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-26,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-27,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-28,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-29,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-11-30,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-12-03,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-12-04,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-12-05,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-12-06,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
2012-12-07,105.0,105.0,105.0,105.0,105.0,0,105.0,105.0,105.0,105.0,,,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,0.0,OLB
